Year,Month,Day,Notes
2018,Aug,12,NA
2018,Aug,19,NA
2018,Aug,22,NA
2018,Aug,24,NA
2018,Aug,27,Right after leaving for 3 days at Weber's
2018,Aug,28,NA
2018,Aug,29,NA
2018,Aug,30,NA
2018,Aug,31,NA
2018,Sep,01,NA
2018,Sep,02,NA
2018,Sep,03,NA
2018,Sep,04,at camp bow wow
2018,Sep,05,NA
2018,Sep,06,NA
2018,Sep,07,NA
2018,Sep,08,NA
2018,Sep,09,NA
2018,Sep,10,NA
2018,Sep,11,NA
2018,Sep,12,NA
2018,Sep,13,NA
2018,Sep,14,NA
2018,Sep,15,NA
2018,Sep,16,NA
2018,Oct,01,dogs at Webers from Sept 18-30
2018,Oct,02,NA
2018,Oct,03,NA
2018,Oct,04,NA
2018,Oct,09,dogs at Webers from Oct 5-8
2018,Oct,10,NA
2018,Oct,11,NA
2018,Oct,12,NA
2018,Oct,13,NA
2018,Oct,14,NA
2018,Oct,15,NA
2018,Oct,16,on 10/15 all had hair cuts
2018,Oct,17,NA
2018,Oct,18,NA
2018,Oct,22,dogs at Webers from Oct 18-22
2018,Oct,23,NA
2018,Oct,24,NA
2018,Oct,25,NA
2018,Oct,26,NA
2018,Oct,27,NA
2018,Oct,28,NA
2018,Oct,29,NA
2018,Oct,30,NA
2018,Oct,31,NA
2018,Nov,01,NA
2018,Nov,02,NA
2018,Nov,04,NA
2018,Nov,05,NA
2018,Nov,06,NA
2018,Nov,18,dogs at Webers from Nov 10-17
2018,Nov,19,NA
2018,Nov,20,NA
2018,Nov,21,NA
2018,Nov,22,NA
2018,Nov,23,NA
2018,Nov,29,NA
2018,Dec,01,NA
2018,Dec,04,NA
2018,Dec,05,NA
2018,Dec,06,NA
2018,Dec,08,NA
2018,Dec,09,NA
2018,Dec,10,NA
2018,Dec,11,NA
2018,Dec,17,NA
2018,Dec,18,NA
2019,Jan,08,"Simone/Gagne  at Webers from Dec 20-Jan 4, Raisin at PC Dec 20-Jan7"
2019,Jan,10,NA
2019,Jan,14,NA
2019,Jan,17,NA
2019,Jan,19,NA
2019,Jan,23,NA
2019,Jan,26,NA
2019,Jan,27,NA
2019,Jan,28,NA
2019,Feb,04,NA
2019,Feb,06,NA
2019,Feb,08,NA
2019,Feb,10,NA
2019,Feb,13,NA
2019,Feb,15,NA
2019,Feb,26,NA
2019,Feb,28,NA
2019,Mar,03,NA
2019,Mar,05,NA
2019,Mar,19,NA
2019,Mar,21,NA
2019,Mar,23,NA
2019,Mar,25,NA
2019,Mar,31,NA
2019,Apr,05,NA
2019,Apr,07,NA
2019,Apr,09,NA
2019,Apr,11,NA
2019,Apr,15,NA
2019,Apr,21,NA
2019,Apr,24,NA
2019,Apr,30,NA
2019,May,03,NA
2019,May,06,NA
2019,May,10,NA
2019,May,17,NA
2019,May,31,NA
2019,Jun,08,NA
2019,Jun,12,NA
2019,Jun,15,NA
2019,Jun,21,NA
2019,Jul,03,NA
2019,Jul,08,NA
2019,Jul,16,NA
2019,Jul,19,NA
2019,Jul,23,NA
2019,Jul,26,NA
2019,Jul,30,NA
2019,Aug,04,NA
2019,Aug,06,NA
2019,Aug,10,NA
2019,Aug,14,NA
2019,Aug,18,NA
2019,Aug,22,NA
2019,Aug,25,NA
2019,Aug,28,NA
2019,Sep,03,NA
2019,Sep,06,Gagne died 9/8/2019
2019,Sep,22,NA
2019,Sep,25,NA
2019,Oct,02,NA
2019,Oct,07,NA
2019,Oct,11,NA
2019,Oct,15,NA
2019,Oct,19,NA
2019,Oct,22,NA
2019,Nov,04,on vacation? Dogs at kennel?
2019,Nov,06,NA
2019,Nov,10,NA
2019,Nov,17,NA
2019,Nov,24,NA
2019,Nov,30,NA
2019,Dec,07,NA
2019,Dec,12,NA
2019,Dec,15,NA
2019,Dec,19,NA
2019,Dec,30,NA
2020,Jan,11,NA
2020,Jan,13,NA
2020,Jan,19,NA
2020,Jan,22,NA
2020,Jan,29,NA
2020,Feb,03,at Kennel?
2020,Feb,06,NA
2020,Feb,13,NA
2020,Feb,18,NA
2020,Feb,25,NA
2020,Mar,04,NA
2020,Mar,10,NA
2020,Mar,13,NA
2020,Mar,20,NA
2020,Mar,24,NA
2020,Mar,30,NA
2020,Apr,03,NA
2020,Apr,06,NA
2020,Apr,10,NA
2020,Apr,17,NA
2020,Apr,20,NA
2020,Apr,26,NA
2020,May,02,NA
2020,May,06,NA
2020,May,12,NA
2020,May,16,NA
2020,May,20,NA
2020,May,22,NA
2020,May,23,first haircut in 3-4 months
2020,May,30,NA
2020,Jun,04,NA
2020,Jun,09,NA
