Year,Month,Day,Raisin (Lbs),Raisin (Oz),Simone (Lbs),Simone (Oz),Gagne (Lbs),Gagne (Oz),std (Lbs),std (Oz)
2018,Aug,12,19,12,10,14,10,10,43488,43488
2018,Aug,19,20,3,11,2,10,12,20,15.8
2018,Aug,22,20,4,11,4,10,13,20,15.6
2018,Aug,24,19,13,11,4,11,1,20,15.6
2018,Aug,27,19,6,10,8,10,6,20,15.6
2018,Aug,28,43488,43488,43488,43488,43488,43488,43488,43488
2018,Aug,29,19,6,11,0,11,1,20,15.6
2018,Aug,30,43488,43488,43488,43488,43488,43488,43488,43488
2018,Aug,31,19,9,11,0,10,12,20,15.6
2018,Sep,01,43488,43488,43488,43488,43488,43488,43488,43488
2018,Sep,02,19,10,10,13,10,10,20,15.6
2018,Sep,03,19,8,10,15,10,13,20,15.6
2018,Sep,04,19,9,11,0,10,15,20,15.6
2018,Sep,05,19,8,11,2,11,0,20,15.6
2018,Sep,06,19,7,11,0,10,11,20,15.6
2018,Sep,07,19,6,11,1,11,2,20,15.6
2018,Sep,08,19,7,11,4,10,15,20,15.6
2018,Sep,09,19,8,11,2,10,13,20,15.6
2018,Sep,10,19,7,11,2,10,13,20,15.6
2018,Sep,11,19,8,10,15,11,0,20,15.6
2018,Sep,12,19,8,11,1,11,0,20,15.6
2018,Sep,13,19,7,11,3,11,0,20,15.6
2018,Sep,14,19,10,11,1,11,1,20,15.6
2018,Sep,15,19,8,43488,43488,43488,43488,20,15.6
2018,Sep,16,19,9,11,0,11,1,20,15.6
2018,Oct,01,19,0,10,4,10,4,43488,43488
2018,Oct,02,19,6,11,0,10,12,20,15.6
2018,Oct,03,19,0,10,10,10,3,20,15.6
2018,Oct,04,18,15,10,9,10,4,20,15.6
2018,Oct,09,19,10,10,10,10,11,20,15.6
2018,Oct,10,19,2,10,11,10,11,20,15.6
2018,Oct,11,19,2,10,11,10,9,20,15.6
2018,Oct,12,19,1,10,10,10,11,20,15.6
2018,Oct,13,19,5,10,9,10,11,20,15.6
2018,Oct,14,19,1,10,9,10,11,20,15.6
2018,Oct,15,19,4,43488,43488,43488,43488,43488,43488
2018,Oct,16,18,13,10,11,10,11,20,15.6
2018,Oct,17,18,15,10,13,10,13,20,15.6
2018,Oct,18,18,14,10,12,10,13,20,15.6
2018,Oct,22,1810,43488,10,4,10,5,43488,43488
2018,Oct,23,18,8,10,8,10,8,20,15.6
2018,Oct,24,18,7,10,12,10,9,20,15.6
2018,Oct,25,18,7,10,8,10,9,43488,43488
2018,Oct,26,18,8,10,8,10,11,43488,43488
2018,Oct,27,18,10,10,9,10,12,43488,43488
